Aircraft,distance km,fuel burn kg per km
A359,9208.0,6.03
A359,12116.0,7.07
A388,13300.0,13.78
A388,11000.0,13.78
B77E,5600.0,6.96
B77E,11000.0,7.42
B77L,9208.0,7.57
B77W,11000.0,8.49
B77W,13300.0,8.58
B789,6200.0,5.77
B789,8610.0,5.85
B789,9208.0,5.63
B789,12116.0,7.18
A343,5600.0,6.81
A343,11000.0,7.32
B744,3984.0,10.77
B744,11000.0,11.11
B748,5600.0,9.9
B748,11000.0,10.54
B748,13300.0,10.9
A319,1900.0,2.93
A320,1900.0,3.13
A320,3984.0,2.91
A321,1900.0,3.61
A21N,1220.0,2.79
B737,930.0,3.21
B737,1900.0,2.82
B738,930.0,3.59
B738,1900.0,3.31
B739,930.0,3.83
B739,1900.0,3.42
E75L,1120.0,2.80
BombardierQ400,560.0,2.16
BombardierQ400,1100.0,1.83
E140,560.0,1.64
E145,560.0,1.76
E170,1122.0,2.6
CRJ700,560.0,2.95
CRJ700,1063.0,2.45
CRJ900,560.0,3.47
CRJ900,1061.0,2.78


